Course,Start Time (UTC),Start Time,Scorecard URL,Score,Handicap,Strokes,Handicapped Strokes,Hole 1 - Time,Hole 1 - Par,Hole 1 - Strokes,Hole 1 - Handicap Score,Hole 1 - Lat,Hole 1 - Lon,Hole 2 - Time,Hole 2 - Par,Hole 2 - Strokes,Hole 2 - Handicap Score,Hole 2 - Lat,Hole 2 - Lon,Hole 3 - Time,Hole 3 - Par,Hole 3 - Strokes,Hole 3 - Handicap Score,Hole 3 - Lat,Hole 3 - Lon,Hole 4 - Time,Hole 4 - Par,Hole 4 - Strokes,Hole 4 - Handicap Score,Hole 4 - Lat,Hole 4 - Lon,Hole 5 - Time,Hole 5 - Par,Hole 5 - Strokes,Hole 5 - Handicap Score,Hole 5 - Lat,Hole 5 - Lon,Hole 6 - Time,Hole 6 - Par,Hole 6 - Strokes,Hole 6 - Handicap Score,Hole 6 - Lat,Hole 6 - Lon,Hole 7 - Time,Hole 7 - Par,Hole 7 - Strokes,Hole 7 - Handicap Score,Hole 7 - Lat,Hole 7 - Lon,Hole 8 - Time,Hole 8 - Par,Hole 8 - Strokes,Hole 8 - Handicap Score,Hole 8 - Lat,Hole 8 - Lon,Hole 9 - Time,Hole 9 - Par,Hole 9 - Strokes,Hole 9 - Handicap Score,Hole 9 - Lat,Hole 9 - Lon,Hole 10 - Time,Hole 10 - Par,Hole 10 - Strokes,Hole 10 - Handicap Score,Hole 10 - Lat,Hole 10 - Lon,Hole 11 - Time,Hole 11 - Par,Hole 11 - Strokes,Hole 11 - Handicap Score,Hole 11 - Lat,Hole 11 - Lon,Hole 12 - Time,Hole 12 - Par,Hole 12 - Strokes,Hole 12 - Handicap Score,Hole 12 - Lat,Hole 12 - Lon,Hole 13 - Time,Hole 13 - Par,Hole 13 - Strokes,Hole 13 - Handicap Score,Hole 13 - Lat,Hole 13 - Lon,Hole 14 - Time,Hole 14 - Par,Hole 14 - Strokes,Hole 14 - Handicap Score,Hole 14 - Lat,Hole 14 - Lon,Hole 15 - Time,Hole 15 - Par,Hole 15 - Strokes,Hole 15 - Handicap Score,Hole 15 - Lat,Hole 15 - Lon,Hole 16 - Time,Hole 16 - Par,Hole 16 - Strokes,Hole 16 - Handicap Score,Hole 16 - Lat,Hole 16 - Lon,Hole 17 - Time,Hole 17 - Par,Hole 17 - Strokes,Hole 17 - Handicap Score,Hole 17 - Lat,Hole 17 - Lon,Hole 18 - Time,Hole 18 - Par,Hole 18 - Strokes,Hole 18 - Handicap Score,Hole 18 - Lat,Hole 18 - Lon
San Vicente Inn & Golf Club,2021-03-30T13:53:05-07:00,2021-03-30T20:53:05.000Z,https://connect.garmin.com/modern/scorecard/173370965,15,35,122,87,2021-04-02T12:34:55.000Z,5,7,5,393693524,-1393602152,,3,6,4,393673742,-1393590281,2021-03-31T00:31:56.000Z,4,4,2,393703020,-1393578720,2021-03-31T00:31:56.000Z,5,10,8,393709618,-1393520870,2021-03-31T00:31:56.000Z,4,8,6,393689156,-1393561469,2021-03-31T00:31:56.000Z,4,5,3,393693702,-1393529197,2021-03-31T00:31:56.000Z,4,6,4,393705096,-1393486498,,3,5,3,393705954,-1393512315,2021-03-31T00:31:56.000Z,4,8,6,393725688,-1393545745,2021-03-31T00:31:56.000Z,4,8,6,393730246,-1393598764,2021-03-31T00:31:56.000Z,5,8,6,393744562,-1393654694,,3,5,4,393763460,-1393654049,2021-03-31T00:31:56.000Z,4,7,5,393765356,-1393703346,2021-03-31T00:31:56.000Z,4,7,5,393754726,-1393748383,,3,6,4,393749478,-1393717102,2021-03-31T00:31:56.000Z,4,8,6,393745898,-1393662126,2021-03-31T00:31:56.000Z,5,8,6,393728230,-1393606864,2021-03-31T00:31:56.000Z,4,6,4,393727978,-1393560371
San Vicente Inn & Golf Club,2021-04-03T09:10:12-07:00,2021-04-03T16:10:12.000Z,https://connect.garmin.com/modern/scorecard/173713653,0,35,107,72,,5,6,4,393693524,-1393602152,,3,5,3,393673742,-1393590281,2021-04-03T21:19:09.000Z,4,5,3,393703020,-1393578720,2021-04-03T21:19:09.000Z,5,6,4,393709618,-1393520870,2021-04-03T21:19:09.000Z,4,6,4,393689156,-1393561469,2021-04-03T21:19:09.000Z,4,7,5,393693702,-1393529197,2021-04-03T21:19:09.000Z,4,7,5,393705096,-1393486498,,3,6,4,393705954,-1393512315,2021-04-03T21:19:09.000Z,4,6,4,393725688,-1393545745,2021-04-03T21:19:09.000Z,4,7,5,393730246,-1393598764,2021-04-03T21:19:09.000Z,5,8,6,393744562,-1393654694,,3,3,2,393763460,-1393654049,2021-04-03T21:19:09.000Z,4,7,5,393765356,-1393703346,,4,6,4,393754726,-1393748383,,3,5,3,393749478,-1393717102,2021-04-03T21:19:09.000Z,4,6,4,393745898,-1393662126,2021-04-03T21:19:09.000Z,5,6,4,393728230,-1393606864,2021-04-03T21:19:09.000Z,4,5,3,393727978,-1393560371
San Vicente Inn & Golf Club,2021-04-11T05:47:46-08:00,2021-04-11T13:47:46.000Z,https://connect.garmin.com/modern/scorecard/174410457,6,34,112,78,2021-04-19T02:58:30.000Z,5,6,4,393693524,-1393602152,,3,4,3,393673742,-1393590281,2021-04-11T17:31:52.000Z,4,6,4,393703020,-1393578720,2021-04-11T17:31:52.000Z,5,7,5,393709618,-1393520870,,4,8,6,393689156,-1393561469,2021-04-11T17:31:52.000Z,4,5,3,393693702,-1393529197,2021-04-11T17:31:52.000Z,4,5,3,393705096,-1393486498,,3,4,2,393705954,-1393512315,2021-04-11T17:31:52.000Z,4,5,3,393725688,-1393545745,2021-04-11T17:31:52.000Z,4,7,5,393730246,-1393598764,2021-04-11T17:31:52.000Z,5,9,7,393744562,-1393654694,,3,6,5,393763460,-1393654049,2021-04-11T17:31:52.000Z,4,8,6,393765356,-1393703346,2021-04-11T17:31:52.000Z,4,8,6,393754726,-1393748383,,3,4,2,393749478,-1393717102,2021-04-11T17:31:52.000Z,4,6,4,393745898,-1393662126,2021-04-11T17:31:52.000Z,5,10,8,393728230,-1393606864,2021-04-19T02:53:06.000Z,4,4,2,393727978,-1393560371
San Vicente Inn & Golf Club,2021-04-18T11:01:37-07:00,2021-04-18T18:01:37.000Z,https://connect.garmin.com/modern/scorecard/175219011,10,35,117,82,,5,6,4,393693524,-1393602152,,3,5,3,393673742,-1393590281,2021-04-20T23:43:35.000Z,4,6,4,393703020,-1393578720,2021-04-20T23:43:35.000Z,5,7,5,393709618,-1393520870,,4,7,5,393689156,-1393561469,2021-04-20T23:43:35.000Z,4,7,5,393693702,-1393529197,2021-04-20T23:43:35.000Z,4,6,4,393705096,-1393486498,,3,6,4,393705954,-1393512315,2021-04-20T23:43:35.000Z,4,8,6,393725688,-1393545745,2021-04-20T23:43:35.000Z,4,6,4,393730246,-1393598764,2021-04-20T23:43:35.000Z,5,10,8,393744562,-1393654694,,3,5,4,393763460,-1393654049,2021-04-20T23:43:35.000Z,4,7,5,393765356,-1393703346,,4,7,5,393754726,-1393748383,,3,6,4,393749478,-1393717102,2021-04-20T23:43:35.000Z,4,5,3,393745898,-1393662126,2021-04-20T23:43:35.000Z,5,9,7,393728230,-1393606864,2021-04-20T23:43:35.000Z,4,4,2,393727978,-1393560371
San Vicente Inn & Golf Club,2021-04-23T07:25:17-07:00,2021-04-23T14:25:17.000Z,https://connect.garmin.com/modern/scorecard/175433409,0,36,108,72,2021-04-23T17:16:37.000Z,5,7,5,393693524,-1393602152,,3,4,2,393673742,-1393590281,2021-04-23T17:16:37.000Z,4,8,6,393703020,-1393578720,2021-04-23T17:16:37.000Z,5,7,5,393709618,-1393520870,,4,6,4,393689156,-1393561469,,4,5,3,393693702,-1393529197,2021-04-23T17:16:37.000Z,4,6,4,393705096,-1393486498,,3,6,4,393705954,-1393512315,,4,6,4,393725688,-1393545745,2021-04-23T17:16:37.000Z,4,5,3,393730246,-1393598764,,5,6,4,393744562,-1393654694,,3,4,2,393763460,-1393654049,2021-04-23T17:16:37.000Z,4,8,6,393765356,-1393703346,2021-04-23T17:16:37.000Z,4,5,3,393754726,-1393748383,,3,3,1,393749478,-1393717102,2021-04-23T17:16:37.000Z,4,7,5,393745898,-1393662126,2021-04-23T17:16:37.000Z,5,7,5,393728230,-1393606864,2021-04-23T17:16:37.000Z,4,8,6,393727978,-1393560371
San Vicente Inn & Golf Club,2021-04-25T12:18:51-07:00,2021-04-25T19:18:51.000Z,https://connect.garmin.com/modern/scorecard/175703872,-6,35,101,66,,5,7,5,393693524,-1393602152,,3,4,2,393673742,-1393590281,,4,4,2,393703020,-1393578720,,5,5,3,393709618,-1393520870,,4,6,4,393689156,-1393561469,,4,7,5,393693702,-1393529197,,4,5,3,393705096,-1393486498,,3,5,3,393705954,-1393512315,,4,8,6,393725688,-1393545745,,4,4,2,393730246,-1393598764,,5,6,4,393744562,-1393654694,,3,4,3,393763460,-1393654049,2021-04-25T22:45:34.000Z,4,5,3,393765356,-1393703346,2021-04-25T22:45:34.000Z,4,7,5,393754726,-1393748383,,3,5,3,393749478,-1393717102,2021-04-25T22:45:34.000Z,4,7,5,393745898,-1393662126,2021-04-25T22:45:34.000Z,5,8,6,393728230,-1393606864,2021-04-25T22:45:34.000Z,4,4,2,393727978,-1393560371
San Vicente Inn & Golf Club,2021-05-02T14:11:08-07:00,2021-05-02T21:11:08.000Z,https://connect.garmin.com/modern/scorecard/176419627,-1,35,106,71,2021-05-03T01:37:06.000Z,5,8,6,393693524,-1393602152,,3,4,2,393673742,-1393590281,2021-05-03T01:37:06.000Z,4,6,4,393703020,-1393578720,2021-05-03T01:37:06.000Z,5,6,4,393709618,-1393520870,2021-05-03T01:37:06.000Z,4,5,3,393689156,-1393561469,2021-05-03T01:37:06.000Z,4,8,6,393693702,-1393529197,2021-05-03T01:37:06.000Z,4,6,4,393705096,-1393486498,,3,6,4,393705954,-1393512315,2021-05-03T01:37:06.000Z,4,6,4,393725688,-1393545745,2021-05-03T01:37:06.000Z,4,6,4,393730246,-1393598764,2021-05-03T01:37:06.000Z,5,6,4,393744562,-1393654694,,3,5,4,393763460,-1393654049,2021-05-03T01:37:06.000Z,4,7,5,393765356,-1393703346,2021-05-03T01:37:06.000Z,4,5,3,393754726,-1393748383,,3,3,1,393749478,-1393717102,2021-05-03T01:37:06.000Z,4,6,4,393745898,-1393662126,2021-05-03T01:37:06.000Z,5,6,4,393728230,-1393606864,2021-05-03T01:37:06.000Z,4,7,5,393727978,-1393560371
San Vicente Inn & Golf Club,2021-05-06T15:02:51-07:00,2021-05-06T22:02:51.000Z,https://connect.garmin.com/modern/scorecard/176744306,,,102,,,5,7,,393693524,-1393602152,,3,4,,393673742,-1393590281,2021-05-07T01:12:03.000Z,4,6,,393703020,-1393578720,2021-05-07T01:12:03.000Z,5,6,,393709618,-1393520870,2021-05-07T01:12:03.000Z,4,6,,393689156,-1393561469,2021-05-07T01:12:03.000Z,4,6,,393693702,-1393529197,2021-05-07T01:12:03.000Z,4,6,,393705096,-1393486498,,3,4,,393705954,-1393512315,2021-05-07T01:12:03.000Z,4,6,,393725688,-1393545745,2021-05-07T01:12:03.000Z,4,6,,393730246,-1393598764,2021-05-07T01:12:03.000Z,5,9,,393744562,-1393654694,,3,5,,393763460,-1393654049,2021-05-07T01:12:03.000Z,4,4,,393765356,-1393703346,2021-05-07T01:12:03.000Z,4,5,,393754726,-1393748383,,3,4,,393749478,-1393717102,2021-05-07T01:12:03.000Z,4,6,,393745898,-1393662126,2021-05-07T01:12:03.000Z,5,6,,393728230,-1393606864,2021-05-07T01:12:03.000Z,4,6,,393727978,-1393560371
San Vicente Inn & Golf Club,2021-05-08T08:01:49-07:00,2021-05-08T15:01:49.000Z,https://connect.garmin.com/modern/scorecard/176928618,-5,31,98,67,2021-05-08T18:23:54.000Z,5,6,4,393693524,-1393602152,,3,3,2,393673742,-1393590281,,4,5,4,393703020,-1393578720,2021-05-08T18:23:54.000Z,5,6,4,393709618,-1393520870,2021-05-08T18:23:54.000Z,4,6,4,393689156,-1393561469,2021-05-08T18:23:54.000Z,4,5,3,393693702,-1393529197,2021-05-08T18:23:54.000Z,4,6,4,393705096,-1393486498,,3,4,2,393705954,-1393512315,2021-05-08T18:23:54.000Z,4,7,5,393725688,-1393545745,2021-05-08T18:23:54.000Z,4,7,6,393730246,-1393598764,2021-05-08T18:23:54.000Z,5,7,5,393744562,-1393654694,,3,3,2,393763460,-1393654049,2021-05-08T18:23:54.000Z,4,5,3,393765356,-1393703346,2021-05-08T18:23:54.000Z,4,6,4,393754726,-1393748383,,3,3,2,393749478,-1393717102,2021-05-08T18:23:54.000Z,4,5,3,393745898,-1393662126,2021-05-08T18:23:54.000Z,5,6,4,393728230,-1393606864,2021-05-08T18:23:54.000Z,4,8,6,393727978,-1393560371
San Vicente Inn & Golf Club,2021-05-13T07:16:44-07:00,2021-05-13T14:16:44.000Z,https://connect.garmin.com/modern/scorecard/177392088,0,29,101,72,,5,7,5,393693524,-1393602152,,3,3,2,393673742,-1393590281,2021-05-13T17:42:44.000Z,4,5,4,393703020,-1393578720,2021-05-13T17:42:44.000Z,5,5,3,393709618,-1393520870,2021-05-13T17:42:44.000Z,4,5,3,393689156,-1393561469,2021-05-13T17:42:44.000Z,4,5,3,393693702,-1393529197,2021-05-13T17:42:44.000Z,4,8,7,393705096,-1393486498,,3,6,4,393705954,-1393512315,2021-05-13T17:42:44.000Z,4,5,3,393725688,-1393545745,2021-05-13T17:42:44.000Z,4,7,6,393730246,-1393598764,2021-05-13T17:42:44.000Z,5,8,6,393744562,-1393654694,,3,2,1,393763460,-1393654049,2021-05-13T17:42:44.000Z,4,5,3,393765356,-1393703346,2021-05-13T17:42:44.000Z,4,8,7,393754726,-1393748383,,3,4,3,393749478,-1393717102,2021-05-13T17:42:44.000Z,4,5,3,393745898,-1393662126,2021-05-13T17:42:44.000Z,5,5,3,393728230,-1393606864,2021-05-13T17:42:44.000Z,4,8,6,393727978,-1393560371
